Following Athlete ID,Follow Status,Created At
1212167,Accepted,"27 Jun 2014, 20:55:44"
1828821,Accepted,"27 Jun 2014, 20:55:55"
5421752,Accepted,"29 Jun 2014, 14:12:55"
2540554,Accepted,"8 Jul 2014, 10:35:06"
5412155,Accepted,"8 Jul 2014, 11:22:50"
5608413,Accepted,"12 Jul 2014, 20:09:04"
5636830,Accepted,"14 Jul 2014, 18:50:12"
5411619,Accepted,"29 Jul 2014, 22:20:53"
5838154,Accepted,"30 Jul 2014, 19:39:08"
1388933,Accepted,"9 Sep 2014, 20:52:47"
3703744,Accepted,"9 Sep 2014, 20:52:51"
5690701,Accepted,"26 Sep 2014, 14:37:20"
2116029,Accepted,"3 Oct 2014, 12:50:54"
784533,Accepted,"9 Jan 2015, 15:22:10"
7808376,Accepted,"5 Mar 2015, 10:51:13"
5795838,Accepted,"19 Apr 2015, 21:35:47"
8258295,Accepted,"24 Jun 2015, 09:07:22"
3890315,Accepted,"5 Aug 2015, 15:57:38"
11423342,Accepted,"20 Sep 2015, 07:47:15"
10185461,Accepted,"20 Sep 2015, 18:52:19"
1753569,Accepted,"11 Nov 2015, 19:00:55"
12564103,Accepted,"5 Jul 2016, 05:02:05"
381127,Accepted,"15 Sep 2016, 07:43:32"
8886691,Accepted,"7 Jan 2017, 12:23:17"
2430476,Accepted,"27 Jan 2017, 10:51:33"
1976634,Accepted,"31 Jan 2017, 10:18:41"
432871,Accepted,"12 Feb 2017, 17:56:59"
7164957,Accepted,"4 Mar 2017, 15:01:38"
20615283,Accepted,"22 Mar 2017, 09:22:47"
20853045,Accepted,"3 Apr 2017, 06:50:51"
21274286,Accepted,"17 Apr 2017, 20:14:39"
385144,Accepted,"1 May 2017, 15:21:19"
607935,Accepted,"10 Jun 2017, 14:56:56"
9449603,Accepted,"25 Jun 2017, 07:15:48"
3152569,Accepted,"25 Jun 2017, 13:10:28"
4080671,Accepted,"25 Jun 2017, 13:10:38"
5265931,Accepted,"25 Jun 2017, 13:30:32"
4552572,Accepted,"28 Jun 2017, 07:45:00"
1469391,Accepted,"1 Jul 2017, 08:55:01"
23403725,Accepted,"15 Jul 2017, 13:09:56"
16005201,Accepted,"6 Aug 2017, 14:57:07"
1943689,Accepted,"6 Aug 2017, 14:57:08"
1302540,Accepted,"6 Aug 2017, 14:58:05"
24257862,Accepted,"17 Aug 2017, 08:27:25"
9120124,Accepted,"19 Aug 2017, 10:05:46"
25397062,Accepted,"1 Oct 2017, 15:08:44"
7407358,Accepted,"9 Oct 2017, 19:25:34"
7615791,Accepted,"16 Oct 2017, 15:00:26"
17957880,Accepted,"30 Nov 2017, 20:22:46"
23804146,Accepted,"3 Dec 2017, 15:09:54"
11032572,Accepted,"14 Dec 2017, 21:00:34"
5436959,Accepted,"16 Dec 2017, 00:35:38"
11957333,Accepted,"31 Dec 2017, 19:02:16"
1528091,Accepted,"31 Dec 2017, 19:02:41"
25430243,Accepted,"15 Jan 2018, 07:45:39"
28747478,Accepted,"5 Mar 2018, 07:46:06"
23542050,Accepted,"10 Mar 2018, 10:18:42"
27180703,Accepted,"17 Mar 2018, 21:44:40"
29455268,Accepted,"2 Apr 2018, 20:56:24"
19476318,Accepted,"6 May 2018, 06:44:02"
25148939,Accepted,"21 May 2018, 19:27:57"
5716635,Accepted,"26 May 2018, 23:33:53"
15109901,Accepted,"1 Jul 2018, 19:26:04"
12649544,Accepted,"13 Jul 2018, 18:37:31"
3143656,Accepted,"14 Jul 2018, 21:18:37"
34035269,Accepted,"22 Aug 2018, 07:21:36"
37801898,Accepted,"5 Jan 2019, 15:27:20"
1195918,Accepted,"20 Jan 2019, 19:24:24"
19766653,Accepted,"27 Jan 2019, 18:48:54"
38964356,Accepted,"3 Feb 2019, 21:16:35"
9799576,Accepted,"6 Feb 2019, 22:57:19"
39316667,Accepted,"18 Feb 2019, 07:38:55"
38121110,Accepted,"25 Feb 2019, 15:36:39"
40153835,Accepted,"18 Mar 2019, 14:12:25"
41190548,Accepted,"22 Apr 2019, 16:27:06"
43466934,Accepted,"29 Jun 2019, 08:27:16"
42805430,Accepted,"29 Jul 2019, 12:30:02"
