Join Date,Club Name
"17 Jul 2014, 14:55:37",STOR-i Cyclists
"22 Jan 2016, 20:09:05",Lancaster parkrun
"5 Jun 2016, 17:57:19",The 100 Climbs Strava club
"6 Dec 2016, 16:47:00",Pete Bland Sports Running Club
"4 Feb 2017, 21:08:06",INOV-8 RUNNING CLUB
"12 Apr 2017, 10:51:25",Lonsdale Fell Runners
"14 Nov 2017, 15:30:29",Cycle Bunnies
"3 Aug 2017, 16:13:34",EPIC EVENTS
"27 Sep 2017, 19:38:31",Lancaster Race Series
"21 Jul 2018, 10:48:50",Red Bull UK
"3 Dec 2018, 15:29:29",Advent Running
"28 Jan 2019, 12:12:08",Ride Every Tile
