Route Name,Route Filename
Glasson loop,routes/1.gpx
Green tarn?,routes/2.gpx
Starry eyed,routes/3.gpx
Jubilee,routes/4.gpx
Love long lane,routes/5.gpx
The witch's ridge,routes/6.gpx
Marshaw,routes/7.gpx
Lune path,routes/8.gpx
Aughton,routes/9.gpx
Capernwray bike route,routes/10.gpx
Weekend long run,routes/11.gpx
Burrow to Tarnwater,routes/12.gpx
Bayhorse blast,routes/13.gpx
All five ends,routes/14.gpx
Middleton-Heysham-Morecambe,routes/15.gpx
Overton loop,routes/16.gpx
The Crag 19k,routes/17.gpx
Postern gate 15,routes/18.gpx
Full hat,routes/19.gpx
Windmills from Brookhouse. Gorgeous. ,routes/20.gpx
Rochdale Canal 12k,routes/21.gpx
Farleton with Lonsdale,routes/22.gpx
Kit Brow Lane,routes/23.gpx
Lune path and Stodday,routes/24.gpx
Canal south (tarnwater lane),routes/25.gpx
Haverbreaks - canal,routes/26.gpx
Campus sport centre,routes/27.gpx
Hazelrigg loop,routes/28.gpx
Along the Lune (Straight mile + willow),routes/29.gpx
Playing fields and cinder lane,routes/30.gpx
Littlefell & Langthwaite,routes/31.gpx
Blea bench and back,routes/32.gpx
The dolphin,routes/33.gpx
Aquaduct and back,routes/34.gpx
Prison loop,routes/35.gpx
Canal south + burrow trig,routes/36.gpx
Arkholme Tiles,routes/37.gpx
Canal - Fairfield Orchard,routes/38.gpx
Tiles: Bentham,routes/39.gpx
Run around the park,routes/40.gpx
Campus loop,routes/41.gpx
Tile hunting,routes/42.gpx
Settle Road route,routes/43.gpx
Settle Loop,routes/44.gpx
Tile hunting episode 2,routes/45.gpx
Peat crevasses - Ronalds,routes/46.gpx
Cycle of Hope Day 1 Lancaster - Liverpool,routes/47.gpx
Cycle of Hope Day 2 Liverpool- Bangor ,routes/48.gpx
Tadpole,routes/49.gpx
Jubilee & Cross O Greet,routes/50.gpx
Homeward bound part 1,routes/51.gpx
Capernwray Midweek Tri Bike Route,routes/52.gpx
EpicMan Bike Course new,routes/53.gpx
80k Llyn - Clwb Beicio Dyfor,routes/54.gpx
Two peaks and a pub,routes/55.gpx
Hills for the pudding(house),routes/56.gpx
Blackpool coast,routes/57.gpx
Longridge Sportive Route 2,routes/58.gpx
Big and little Ingleborough,routes/59.gpx
Ingleborough,routes/60.gpx
Nant-Y-Big and Rhiw,routes/61.gpx
LF2,routes/62.gpx
Pen Llyn Coastal Path Loop,routes/63.gpx
Coal Road ,routes/64.gpx
Proof of the Pudding from Halton,routes/65.gpx
Aughton Loop,routes/66.gpx
Littledale loop (Bens Crag),routes/67.gpx
Frog Graham Round,routes/68.gpx
Jubileeeeee hills,routes/69.gpx
Arnside -  Lonsdale loop,routes/70.gpx
5k Hilly-road loop,routes/71.gpx
Round the lake!,routes/72.gpx
"Dunsop, Chipping etc",routes/73.gpx
Inglesport 100K,routes/74.gpx
Breeze challenge 2015 100km,routes/75.gpx
The Bay Cycle Way (Unofficial),routes/76.gpx
Rolling East to the Trough,routes/77.gpx
Lancashire Loop,routes/78.gpx
Jubilee - Trough - Cross O'Greet,routes/79.gpx
Chipping - Trough - Jubilee Tower - Condor Bottoms,routes/80.gpx
60K to Heversham,routes/81.gpx
K is for Kellet,routes/82.gpx
Proof of the Pudding,routes/83.gpx
Windermere Ferry,routes/84.gpx
Caton Moor,routes/85.gpx
